ff-epoch,ff-f1,ff-pth
29,05535,20220228100951.pth
36,05592,20220228104950.pth
40,05554,20220228111241.pth
41,05528,20220228111822.pth
42,05696,20220228112405.pth
44,05584,20220228113535.pth
46,05541,20220228114700.pth
48,05548,20220228115826.pth
49,05566,20220228120410.pth
51,05573,20220228121539.pth
53,05576,20220228122706.pth
56,05695,20220228124431.pth
57,05591,20220228125020.pth
58,05568,20220228125608.pth
60,05551,20220228130741.pth
61,05648,20220228131328.pth
64,05679,20220228133048.pth
65,05620,20220228133636.pth
66,05604,20220228134225.pth
67,05546,20220228134813.pth
68,05624,20220228135401.pth
69,05713,20220228135946.pth
70,05658,20220228140533.pth
71,05599,20220228141119.pth
72,05563,20220228141706.pth
73,05594,20220228142252.pth
74,05609,20220228142841.pth
75,05558,20220228143427.pth
76,05729,20220228144013.pth
78,05527,20220228145149.pth
79,05672,20220228145736.pth
80,05629,20220228150324.pth
81,05688,20220228150912.pth
82,05660,20220228151458.pth
83,05612,20220228152043.pth
85,05710,20220228153218.pth
86,05661,20220228153804.pth
87,05649,20220228154351.pth
88,05584,20220228154939.pth
89,05583,20220228155526.pth
90,05711,20220228160115.pth
91,05655,20220228160657.pth
92,05618,20220228161247.pth
93,05556,20220228161831.pth
94,05651,20220228162416.pth
95,05670,20220228163003.pth
96,05547,20220228163549.pth
97,05635,20220228164137.pth
98,05637,20220228164723.pth
99,05627,20220228165310.pth