ft-epochs,ft-f1,ft-pth
25,05619,20220228192740.pth
39,05699,20220228204945.pth
42,05673,20220228210718.pth
43,05727,20220228211311.pth
47,05694,20220228213638.pth
49,05610,20220228214815.pth
51,05636,20220228215959.pth
52,05670,20220228220549.pth
53,05738,20220228221140.pth
54,05695,20220228221731.pth
56,05737,20220228222917.pth
57,05613,20220228223509.pth
58,05691,20220228224101.pth
59,05640,20220228224653.pth
60,05638,20220228225246.pth
61,05697,20220228225839.pth
62,05697,20220228230429.pth
63,05788,20220228231021.pth
64,05795,20220228231613.pth
65,05762,20220228232205.pth
66,05685,20220228232759.pth
67,05629,20220228233351.pth
68,05648,20220228233943.pth
69,05645,20220228234536.pth
70,05663,20220228235129.pth
71,05629,20220228235720.pth
72,05682,20220301000310.pth
73,05745,20220301000857.pth
75,05687,20220301002026.pth
76,05758,20220301002610.pth
78,05700,20220301003739.pth
79,05643,20220301004322.pth
81,05616,20220301005452.pth
82,05676,20220301010037.pth
83,05616,20220301010621.pth
84,05676,20220301011205.pth
85,05748,20220301011750.pth
86,05768,20220301012336.pth
87,05715,20220301012920.pth
88,05632,20220301013506.pth
89,05749,20220301014050.pth
90,05752,20220301014634.pth
91,05659,20220301015219.pth
92,05699,20220301015803.pth
93,05718,20220301020348.pth
94,05644,20220301020933.pth
96,05683,20220301022100.pth
97,05719,20220301022644.pth
98,05698,20220301023228.pth
99,05716,20220301023812.pth